disease_id,category,log2fc__2_butanone,log2fc__2_pentanone,log2fc__3_methylbutanal,log2fc__acetaldehyde,log2fc__acetone,log2fc__acetonitrile,log2fc__allyl_methyl_sulfide,log2fc__ammonia,log2fc__benzaldehyde,log2fc__benzene,log2fc__butane,log2fc__carbon_disulfide,log2fc__crotonaldehyde,log2fc__cyclohexane,log2fc__decanal,log2fc__dimethyl_amine,log2fc__dimethyl_disulfide,log2fc__dms,log2fc__dmts,log2fc__dodecane,log2fc__ethane,log2fc__ethanol,log2fc__ethyl_acetate,log2fc__ethylbenzene,log2fc__formaldehyde,log2fc__furan,log2fc__heptanal,log2fc__hexanal,log2fc__hexane,log2fc__hydrogen_sulfide,log2fc__indole,log2fc__isoprene,log2fc__isopropanol,log2fc__limonene,log2fc__methanol,log2fc__methyl_acetate,log2fc__methyl_mercaptan,log2fc__nonanal,log2fc__octanal,log2fc__octane,log2fc__pentane,log2fc__phenol,log2fc__propanol,log2fc__propionaldehyde,log2fc__pyrrole,log2fc__styrene,log2fc__toluene,log2fc__trimethylamine,log2fc__undecane,log2fc__xylene
acute_kidney_injury,metabolic,2.288014019730333,0.38992027188848766,0.002478948136778942,-0.006691548310912755,2.021799096957517,-0.16347466462865382,-0.16727054877775338,1.7074514974952415,-0.008663415772533621,0.04635951844379424,-0.006319782477856551,0.010971421126639107,-0.0057078880739668,-0.0029127289910101943,-0.006999033369246416,-0.006691548310912594,3.981280461735194e-05,0.0034380226791812804,0.00741550681117983,-0.004889891733551362,0.01300066428191637,0.0005867416556261358,0.010401986559901604,-0.059579200407379365,-0.009955933154756604,-0.04807387736044842,0.02197976137967472,0.03349762106117132,-0.003106569332710392,-0.001068127549935545,0.0034380226791812804,-0.01994162275322662,0.5603491994046432,-0.0011881223472207279,-0.009955933154756604,-0.16584720578802575,-0.001068127549935545,0.024519384721044857,-0.0011619981691168802,0.11959271406141694,0.06306928295967204,0.12744402816347547,-0.010229177170484305,-0.0057078880739668,-0.007303442714802512,-0.005756477320129666,-0.002335569691131557,0.20136056321216642,0.004668380522185913,0.0027768281545931827
adhd,neurological,0.037171784280570774,-0.1482134831642181,0.002799378065430325,0.0035388886846442424,0.3627779793789252,-0.14179615694676684,-0.14559204109586646,0.046194113501003574,-0.009709174860689927,0.04635951844379424,0.038166379136679134,0.01778358274117482,0.04416027354056919,0.028333511920833367,0.06023916143569824,-0.007737307399069048,0.008218163435961098,0.005496411471059166,0.015593857442523326,0.025569738195100118,0.5145125542066314,0.0005867416556261358,0.010722416488552922,-0.059579200407379365,0.025564646539149898,-0.03426631821663725,0.08656376137967477,2.9009380297986245,0.04676159228182553,0.00097536537023319,0.012917348817088739,-0.12490381391572769,0.0517881847775151,0.006990228284123086,0.010939646539149887,-0.14280250908933081,0.0009753653702328698,0.4913088645088812,0.3187558150939003,0.15726671406141696,3.7392211358615635,0.10747694516835488,0.1473621801156634,0.04954227354056917,-0.008349201802958986,0.001055684294405962,0.004476591923404524,0.0011126774052173413,0.03728081045083729,0.0048330341728556716
alcohol_use,unspecified,0.10580077710244654,-0.38535505622696714,0.008672537882897804,-0.009903358941706419,0.28689024298271204,-0.42503412803449997,-0.43490342682215893,0.10155652453452596,-0.022524881008587124,0.12053474795386482,-0.009669434442427105,0.028525694929261713,-0.007112508992313598,-0.0017770953766261233,-0.00794109190867834,-0.015807116517464023,0.00010351329200491581,0.013446960918225297,0.019280317709067088,-0.007304118507233482,0.010495727132982363,0.005249858551974376,0.027045165055744034,-0.15490592105918605,-0.02588542620236717,-0.17751417114329834,0.06873937958715444,1.1716855800476829,-0.0003490802650465204,-0.004161938961984116,0.013446960918225614,-0.07642489056930739,0.0824228677712776,-0.0030891181027738347,-0.025885426202367008,-0.43120273504886686,-0.004161938961984116,0.07630840027471689,0.14279117234508065,0.317703056559684,1.8221909143014912,0.27944005743772243,-0.039544300824638765,-0.006146508992313526,-0.01898895105848673,-0.014966841032337379,-0.006072481196941563,-0.003629091148007798,0.01793378935768337,0.010854883296926215
als,neurological,0.037171784280570774,-0.1482134831642181,0.002799378065430325,0.0035388886846442424,0.3627779793789252,-0.14179615694676684,-0.14559204109586646,0.046194113501003574,-0.009709174860689927,0.04635951844379424,0.038166379136679134,0.01778358274117482,0.04416027354056919,0.028333511920833367,0.06023916143569824,-0.007737307399069048,0.008218163435961098,0.005496411471059166,0.015593857442523326,0.025569738195100118,0.5145125542066314,0.0005867416556261358,0.010722416488552922,-0.059579200407379365,0.025564646539149898,-0.03426631821663725,0.08656376137967477,2.9113639465161523,0.04676159228182553,0.00097536537023319,0.012917348817088739,-0.12490381391572769,0.0517881847775151,0.006990228284123086,0.010939646539149887,-0.14280250908933081,0.0009753653702328698,0.4913088645088812,0.3187558150939003,0.15726671406141696,3.9841822855866744,0.10747694516835488,0.1473621801156634,0.04954227354056917,-0.008349201802958986,0.001055684294405962,0.004476591923404524,0.0011126774052173413,0.03728081045083729,0.0048330341728556716
alzheimer_disease,neurological,0.05508721481449721,0.022888647641658818,0.002799378065430325,0.0021754239285127095,0.5784107664371573,-0.14136265975275658,-0.14515854390185615,0.05335789508306271,-0.009709174860689927,-0.0779487202743118,0.05458837913667914,0.01778358274117482,0.06292827354056915,0.04240951192083333,0.09777847728507208,-0.007737307399069048,0.008218163435961098,0.005496411471059166,0.015593857442523326,0.03870733819509992,0.5741791792066311,0.0005867416556261358,0.010722416488552922,-0.059579200407379365,0.02260514373316027,-0.030934986127505226,0.1147157613796746,3.900207737988856,0.06552959228182567,0.00097536537023319,0.011187917580456565,-0.14119284669161852,0.0517881847775151,0.006990228284123086,0.011373143733160429,-0.14236901189532053,0.0009753653702328698,0.6510745415647539,0.3305067825737778,0.20775618031104004,4.839427754358179,-0.011265006544239831,0.18284022130875102,0.07065627354056915,-0.008349201802958986,0.001055684294405962,0.004476591923404524,0.0011126774052173413,0.05135681045083733,0.0048330341728556716
anemia,unspecified,0.10580077710244654,-0.38535505622696714,0.008672537882897804,-0.009903358941706419,0.28689024298271204,-0.42503412803449997,-0.43490342682215893,0.10155652453452596,-0.022524881008587124,0.12053474795386482,-0.009669434442427105,0.028525694929261713,-0.007112508992313598,-0.0017770953766261233,-0.00794109190867834,-0.015807116517464023,0.00010351329200491581,0.013446960918225297,0.019280317709067088,-0.007304118507233482,0.010495727132982363,0.005249858551974376,0.027045165055744034,-0.15490592105918605,-0.02588542620236717,-0.17751417114329834,0.06873937958715444,1.1716855800476829,-0.0003490802650465204,-0.004161938961984116,0.013446960918225614,-0.07642489056930739,0.0824228677712776,-0.0030891181027738347,-0.025885426202367008,-0.43120273504886686,-0.004161938961984116,0.07630840027471689,0.14279117234508065,0.317703056559684,1.8221909143014912,0.27944005743772243,-0.039544300824638765,-0.006146508992313526,-0.01898895105848673,-0.014966841032337379,-0.006072481196941563,-0.003629091148007798,0.01793378935768337,0.010854883296926215
anxiety,neurological,0.037171784280570774,-0.1482134831642181,0.002799378065430325,0.0035388886846442424,0.3627779793789252,-0.14179615694676684,-0.14559204109586646,0.046194113501003574,-0.009709174860689927,0.04635951844379424,0.038166379136679134,0.01778358274117482,0.04416027354056919,0.028333511920833367,0.06023916143569824,-0.007737307399069048,0.008218163435961098,0.005496411471059166,0.015593857442523326,0.025569738195100118,0.5145125542066314,0.0005867416556261358,0.010722416488552922,-0.059579200407379365,0.025564646539149898,-0.03426631821663725,0.08656376137967477,2.9009380297986245,0.04676159228182553,0.00097536537023319,0.012917348817088739,-0.12490381391572769,0.0517881847775151,0.006990228284123086,0.010939646539149887,-0.14280250908933081,0.0009753653702328698,0.4913088645088812,0.3187558150939003,0.15726671406141696,3.7392211358615635,0.10747694516835488,0.1473621801156634,0.04954227354056917,-0.008349201802958986,0.001055684294405962,0.004476591923404524,0.0011126774052173413,0.03728081045083729,0.0048330341728556716
ards,pulmonary,0.05771048653884264,0.02148458190160494,0.1710487530654302,0.6196404575612051,0.5292693667929725,-0.13455362509997973,-0.13894965802416437,0.2494982838711224,-0.009709174860689927,-0.07743999426934582,0.1279615864042614,0.01778358274117482,0.16728040093811547,0.1630172790285911,0.3069928365070828,0.1124408176009309,0.008218163435961098,0.008236784468005307,0.015593857442523326,0.14497635404447387,0.32749857748502753,0.4750568139102311,0.010722416488552922,-0.0690621811213965,0.01692949483401174,-0.004341441031576369,0.8227222551618072,4.85650126771712,0.16726271214812405,0.001462800885384349,0.008236784468005624,-0.3990688126383279,0.05656752255853409,0.006990228284123086,0.018182178385937085,-0.13555997724254368,0.0014628008853840289,1.027136366338271,0.7350381729343533,0.29783527234906326,4.839427754358179,-0.013452657620937282,0.03618359093439889,0.2302684317721819,-0.008349201802958986,0.001055684294405962,0.004476591923404524,0.0016686944663632307,0.16437837630021096,0.007243493281395289
arrhythmia,cardiovascular,0.05882564921501778,0.13891487689698054,0.007251675409506031,-0.0016915483109127907,0.3148934125357539,-0.16347466462865382,-0.16727054877775338,0.03914112595102315,-0.008663415772533621,0.04635951844379424,0.03299221752214338,0.010971421126639107,0.03922011192603331,0.030783271008989827,0.05463481080435467,-0.003282457401821748,3.981280461735194e-05,0.005153966517019903,0.00741550681117983,0.026559708266448653,0.06354466428191642,0.0028518825633034486,0.010401986559901604,-0.059579200407379365,-0.009955933154756604,-0.060820972585562835,0.08937176137967469,2.133566995577173,0.04182143066728982,-0.0016024880247879397,0.005153966517019584,-0.18965196746008403,0.06603411131328867,0.013094877652779174,-0.009955933154756604,-0.16584720578802575,-0.0016024880247879397,0.09752738472104498,0.02634247818349558,0.15890471406141685,2.792132039221091,0.10747694516835488,-0.015371093020478363,0.04483611192603326,-0.007303442714802512,-0.005756477320129666,-0.002335569691131557,-0.0013971284452868643,0.03836438052218579,0.004163240537168198
asthma,pulmonary,0.05576145995050446,0.7394291854496038,0.060759378065430254,0.0228168089550974,0.4144683243523978,-0.13455362509997973,-0.13894965802416437,0.0737442006815552,0.6606687500995875,-0.0780213524825078,-0.3033910857010589,0.01778358274117482,0.12835785580815143,0.14439852902859132,0.24581020872696627,0.03366269260093073,0.008218163435961098,0.008236784468005307,0.015593857442523326,-0.32284822140888175,1.4609474117142702,0.5074078398433026,0.660806068332477,0.7156696919409669,0.01692949483401174,0.90820624999473,0.28005476137967494,4.85650126771712,-0.339352608973703,0.001462800885384349,0.008236784468005624,-0.34691821814184687,-0.40487631517548606,0.006990228284123086,0.018182178385937085,-0.13555997724254368,0.0014628008853840289,0.8513106075123709,0.11717050609925926,0.8103186514039424,4.839427754358179,-0.46232747736542035,0.6509861383686262,0.1588764869436305,-0.008349201802958986,0.001055684294405962,0.004476591923404524,0.0016686944663632307,0.1457596263002111,0.007243493281395289
