disease_a,disease_b,category_a,category_b,cosine,cross_category
adhd,huntington,neurological,neurological,1.0000000000000002,False
adhd,anxiety,neurological,neurological,1.0000000000000002,False
anxiety,migraine,neurological,neurological,1.0000000000000002,False
adhd,stroke,neurological,neurological,1.0000000000000002,False
adhd,ptsd,neurological,neurological,1.0000000000000002,False
adhd,migraine,neurological,neurological,1.0000000000000002,False
huntington,migraine,neurological,neurological,1.0000000000000002,False
anxiety,stroke,neurological,neurological,1.0000000000000002,False
huntington,stroke,neurological,neurological,1.0000000000000002,False
migraine,ptsd,neurological,neurological,1.0000000000000002,False
ptsd,stroke,neurological,neurological,1.0000000000000002,False
migraine,stroke,neurological,neurological,1.0000000000000002,False
huntington,ptsd,neurological,neurological,1.0000000000000002,False
anxiety,huntington,neurological,neurological,1.0000000000000002,False
anxiety,ptsd,neurological,neurological,1.0000000000000002,False
gerd,scleroderma,inflammatory,inflammatory,1.0,False
celiac,gerd,inflammatory,inflammatory,1.0,False
gerd,psoriasis,inflammatory,inflammatory,1.0,False
celiac,psoriasis,inflammatory,inflammatory,1.0,False
myasthenia,scleroderma,inflammatory,inflammatory,1.0,False
atopic_dermatitis,psoriasis,inflammatory,inflammatory,1.0,False
atopic_dermatitis,scleroderma,inflammatory,inflammatory,1.0,False
atopic_dermatitis,gerd,inflammatory,inflammatory,1.0,False
celiac,myasthenia,inflammatory,inflammatory,1.0,False
celiac,scleroderma,inflammatory,inflammatory,1.0,False
atopic_dermatitis,celiac,inflammatory,inflammatory,1.0,False
myasthenia,psoriasis,inflammatory,inflammatory,1.0,False
atopic_dermatitis,myasthenia,inflammatory,inflammatory,1.0,False
mesothelioma,sarcoma,cancer,cancer,1.0,False
endometrial_cancer,sarcoma,cancer,cancer,1.0,False
endometrial_cancer,mesothelioma,cancer,cancer,1.0,False
gerd,myasthenia,inflammatory,inflammatory,1.0,False
psoriasis,scleroderma,inflammatory,inflammatory,1.0,False
gout,nafld,metabolic,metabolic,0.9999999999999999,False
gout,hyperlipidemia,metabolic,metabolic,0.9999999999999999,False
gout,gout_ckd_overlap,metabolic,metabolic,0.9999999999999999,False
gout_ckd_overlap,nafld,metabolic,metabolic,0.9999999999999999,False
gout_ckd_overlap,hyperlipidemia,metabolic,metabolic,0.9999999999999999,False
hyperlipidemia,nafld,metabolic,metabolic,0.9999999999999999,False
breast_benign,infertility,unspecified,unspecified,0.9999999999999998,False
breast_benign,opioid_use,unspecified,unspecified,0.9999999999999998,False
breast_benign,pcos,unspecified,unspecified,0.9999999999999998,False
breast_benign,osteoporosis,unspecified,unspecified,0.9999999999999998,False
anemia,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
peripheral_artery,pulmonary_hypertension,cardiovascular,cardiovascular,0.9999999999999998,False
anemia,chronic_pain,unspecified,unspecified,0.9999999999999998,False
alcohol_use,hearing_loss,unspecified,unspecified,0.9999999999999998,False
arrhythmia,pulmonary_hypertension,cardiovascular,cardiovascular,0.9999999999999998,False
down_syndrome,glaucoma,unspecified,unspecified,0.9999999999999998,False
diabetic_retinopathy,infertility,unspecified,unspecified,0.9999999999999998,False
alcohol_use,pcos,unspecified,unspecified,0.9999999999999998,False
arrhythmia,peripheral_artery,cardiovascular,cardiovascular,0.9999999999999998,False
chronic_pain,hearing_loss,unspecified,unspecified,0.9999999999999998,False
alcohol_use,infertility,unspecified,unspecified,0.9999999999999998,False
alcohol_use,anemia,unspecified,unspecified,0.9999999999999998,False
alcohol_use,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
diabetic_retinopathy,opioid_use,unspecified,unspecified,0.9999999999999998,False
diabetic_retinopathy,hearing_loss,unspecified,unspecified,0.9999999999999998,False
chronic_pain,pcos,unspecified,unspecified,0.9999999999999998,False
hearing_loss,opioid_use,unspecified,unspecified,0.9999999999999998,False
chronic_pain,opioid_use,unspecified,unspecified,0.9999999999999998,False
chronic_pain,infertility,unspecified,unspecified,0.9999999999999998,False
anemia,breast_benign,unspecified,unspecified,0.9999999999999998,False
anemia,infertility,unspecified,unspecified,0.9999999999999998,False
opioid_use,osteoporosis,unspecified,unspecified,0.9999999999999998,False
opioid_use,pcos,unspecified,unspecified,0.9999999999999998,False
infertility,pcos,unspecified,unspecified,0.9999999999999998,False
anemia,hearing_loss,unspecified,unspecified,0.9999999999999998,False
anemia,pcos,unspecified,unspecified,0.9999999999999998,False
breast_benign,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
breast_benign,hearing_loss,unspecified,unspecified,0.9999999999999998,False
hearing_loss,infertility,unspecified,unspecified,0.9999999999999998,False
alcohol_use,chronic_pain,unspecified,unspecified,0.9999999999999998,False
alcohol_use,opioid_use,unspecified,unspecified,0.9999999999999998,False
osteoporosis,pcos,unspecified,unspecified,0.9999999999999998,False
hearing_loss,osteoporosis,unspecified,unspecified,0.9999999999999998,False
chronic_pain,diabetic_retinopathy,unspecified,unspecified,0.9999999999999998,False
alcohol_use,osteoporosis,unspecified,unspecified,0.9999999999999998,False
hearing_loss,pcos,unspecified,unspecified,0.9999999999999998,False
diabetic_retinopathy,pcos,unspecified,unspecified,0.9999999999999998,False
diabetic_retinopathy,osteoporosis,unspecified,unspecified,0.9999999999999998,False
infertility,osteoporosis,unspecified,unspecified,0.9999999999999998,False
infertility,opioid_use,unspecified,unspecified,0.9999999999999998,False
breast_benign,chronic_pain,unspecified,unspecified,0.9999999999999998,False
alcohol_use,breast_benign,unspecified,unspecified,0.9999999999999998,False
anemia,osteoporosis,unspecified,unspecified,0.9999999999999998,False
chronic_pain,osteoporosis,unspecified,unspecified,0.9999999999999998,False
anemia,opioid_use,unspecified,unspecified,0.9999999999999998,False
frontotemporal,lewy_body,neurological,neurological,0.999996681719099,False
gout_ckd_overlap,obesity,metabolic,metabolic,0.999994763496239,False
hyperlipidemia,obesity,metabolic,metabolic,0.999994763496239,False
gout,obesity,metabolic,metabolic,0.999994763496239,False
nafld,obesity,metabolic,metabolic,0.999994763496239,False
lupus,sjogren,inflammatory,inflammatory,0.9999866415611203,False
down_syndrome,macular_degeneration,unspecified,unspecified,0.9999347715715939,False
glaucoma,macular_degeneration,unspecified,unspecified,0.9999347715715939,False
cancer_bladder,endometrial_cancer,cancer,cancer,0.9999069415826451,False
cancer_bladder,sarcoma,cancer,cancer,0.9999069415826451,False
cancer_bladder,mesothelioma,cancer,cancer,0.9999069415826451,False
als,bipolar,neurological,neurological,0.999894835227418,False
bipolar,migraine,neurological,neurological,0.9998685280864489,False
adhd,bipolar,neurological,neurological,0.9998685280864489,False
bipolar,ptsd,neurological,neurological,0.9998685280864489,False
bipolar,huntington,neurological,neurological,0.9998685280864489,False
anxiety,bipolar,neurological,neurological,0.9998685280864489,False
bipolar,stroke,neurological,neurological,0.9998685280864488,False
acute_kidney_injury,obesity,metabolic,metabolic,0.9998529959545878,False
acute_kidney_injury,nafld,metabolic,metabolic,0.9997922723219874,False
acute_kidney_injury,gout_ckd_overlap,metabolic,metabolic,0.9997922723219874,False
acute_kidney_injury,hyperlipidemia,metabolic,metabolic,0.9997922723219874,False
